timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-11 00:09:18,211706940,,,"51.86544, 5.98463",opvaart,,
2025-12-11 00:14:13,211764030,GAS 93,Onbekend,"51.86798, 5.86486",afvaart,110,12
2025-12-11 00:26:36,244192305,ISSA,Tanker,"51.85596, 6.09154",opvaart,86,10
2025-12-11 00:38:31,211475980,HERKULES II,Vrachtschip,"51.83172, 6.19227",opvaart,270,23
2025-12-11 00:52:07,244670358,,,"51.87951, 6.01463",opvaart,,
2025-12-11 00:53:44,244630036,CAAN,Vrachtschip,"52.01497, 6.06428",opvaart,110,13
2025-12-11 01:01:01,211132800,SHAKIRA,Tanker,"51.83064, 6.20274",afvaart,86,12
2025-12-11 01:02:04,244180626,WAALPLUS,Onbekend,"51.86975, 6.04419",opvaart,32,6
2025-12-11 01:11:22,244660099,SYNTHESE 14,Onbekend,"51.81199, 6.26858",afvaart,86,12
2025-12-11 01:35:18,244660701,VECTURA,Vrachtschip,"52.14777, 6.18478",opvaart,63,7
2025-12-11 01:38:12,244670415,RIGOLETTO,Passagiersschip,"51.80697, 6.29668",opvaart,105,11
2025-12-11 01:47:38,245889000,TYPHOON,Tanker,"51.82436, 6.23448",opvaart,100,14
2025-12-11 01:59:22,244210279,EXCELSIOR,Onbekend,"51.84004, 6.17242",opvaart,135,13
2025-12-11 02:00:40,211484440,EILTANK 49,Onbekend,"51.90087, 5.54171",afvaart,110,12
2025-12-11 02:07:17,244700581,THERA,Tanker,"51.85430, 6.08837",afvaart,140,12
2025-12-11 02:13:12,211894850,,,"51.87725, 5.98753",opvaart,,
2025-12-11 02:32:27,244021929,DINTEL,Tanker,"51.89722, 5.66570",afvaart,110,13
2025-12-11 02:32:54,244650651,VOYAGER,Tanker,"51.88323, 5.75101",afvaart,110,12
2025-12-11 02:37:57,211501340,EXCELSIOR,Onbekend,"51.90021, 5.58171",opvaart,105,12
2025-12-11 02:45:25,244050411,INDIGO 2,Vrachtschip,"51.88182, 6.00541",afvaart,111,12
2025-12-11 02:52:25,244850067,VICTUS,Onbekend,"51.85664, 5.82549",opvaart,86,10
2025-12-11 02:53:20,244620859,ALFA GRANDE,Vrachtschip,"51.89769, 5.64994",afvaart,,
