timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-13 00:02:37,244690365,NICKY,Tanker,"52.16701, 6.20270",opvaart,86,10
2025-12-13 00:11:05,244620934,EXPERIENCE,Onbekend,"51.80598, 6.29100",afvaart,135,12
2025-12-13 00:28:27,244004465,ALVIDA,Tanker,"51.85386, 6.08724",afvaart,111,12
2025-12-13 00:28:55,244650640,SIJTJE,Vrachtschip,"51.85536, 6.09124",afvaart,67,10
2025-12-13 00:31:42,244013109,ESTO FIDELIS,Vrachtschip,"51.95656, 5.64966",opvaart,80,9
2025-12-13 00:37:51,244700802,SANSTOARM,Vrachtschip,"52.15583, 6.19486",afvaart,62,7
2025-12-13 00:54:07,205485690,GISELLE,Vrachtschip,"51.82834, 6.21458",opvaart,110,12
2025-12-13 00:56:04,244630427,ROWAN,Tanker,"51.83095, 6.20054",opvaart,135,15
2025-12-13 01:00:55,244130310,INITIUM,Vrachtschip,"51.84958, 6.14315",afvaart,85,10
2025-12-13 01:09:01,244690108,FOCUS,Vrachtschip,"52.16567, 6.30762",opvaart,87,10
2025-12-13 01:09:35,244650931,,,"51.86795, 6.06659",opvaart,,
2025-12-13 01:13:57,244009864,RICH,Tanker,"51.85385, 6.08723",afvaart,125,12
2025-12-13 01:16:50,244110333,INA,Tanker,"51.85829, 5.84122",afvaart,68,7
2025-12-13 01:22:25,244558635,BLUE FROUKJE,Tanker,"51.89903, 5.60166",opvaart,110,12
2025-12-13 01:22:43,244700065,MARELSA,Vrachtschip,"52.16606, 6.32653",opvaart,80,9
2025-12-13 01:24:55,244690155,REGINA,Onbekend,"51.82652, 6.22429",opvaart,135,13
2025-12-13 01:26:37,244770077,DOROTHEA,Vrachtschip,"51.85656, 6.09283",opvaart,67,8
2025-12-13 01:29:15,244670182,SERVICE 4,Onbekend,"51.85166, 6.09626",opvaart,35,6
2025-12-13 01:30:13,244730346,RENSKE,Tanker,"51.88147, 5.85886",afvaart,55,8
2025-12-13 01:42:51,244710719,HILBER,Vrachtschip,"51.83667, 6.17269",opvaart,65,7
2025-12-13 01:48:01,244780760,OOSTERDOK,Onbekend,"51.84734, 5.81798",opvaart,19,6
2025-12-13 01:52:12,244620946,VEERHAVEN IX,Vrachtschip,"51.89319, 5.57469",afvaart,193,35
2025-12-13 01:52:52,244670415,RIGOLETTO,Passagiersschip,"51.80954, 6.28322",opvaart,105,11
2025-12-13 01:56:04,244010253,VEERHAVEN VII,Vrachtschip,"51.81253, 6.28460",opvaart,270,23
2025-12-13 02:03:37,304011029,DELIA,Vrachtschip,"51.83067, 6.19754",opvaart,89,12
2025-12-13 02:06:02,244750019,LIBRA,Vrachtschip,"51.85987, 6.07475",opvaart,185,24
2025-12-13 02:06:10,244750633,VEERHAVEN III,Vrachtschip,"51.85377, 6.08454",opvaart,270,23
2025-12-13 02:19:38,244660683,RITRABO,Onbekend,"51.85806, 6.07659",opvaart,135,12
2025-12-13 02:21:29,244730834,ZUIDENWIND,Vrachtschip,"51.90229, 5.64396",afvaart,91,11
2025-12-13 02:23:51,253000104,MONOMERA,Tanker,"51.82680, 6.22098",opvaart,100,10
2025-12-13 02:31:57,244630402,NEW MEXICO,Vrachtschip,"51.89164, 5.50311",opvaart,135,15
2025-12-13 02:33:30,244690078,OLYMPIC,Tanker,"51.83128, 6.19457",opvaart,110,12
2025-12-13 02:34:22,244396627,WODARA,Vrachtschip,"51.85579, 6.08989",opvaart,85,10
2025-12-13 02:37:23,244770362,BON VOYAGE,Onbekend,"51.85100, 6.14097",afvaart,65,2
2025-12-13 02:37:41,244890292,IMOLA,Tanker,"51.89720, 5.66233",afvaart,110,13
2025-12-13 02:38:04,205285890,KVB CHRIDI,Vrachtschip,"51.89054, 5.70812",afvaart,172,12
2025-12-13 02:40:53,244860573,VIANEN,Tanker,"51.89922, 5.63459",afvaart,82,10
2025-12-13 02:41:27,244020518,VEERLE,Onbekend,"51.89333, 5.59708",afvaart,188,35
2025-12-13 03:05:18,244670899,VIA VAI,Tanker,"51.86414, 5.98355",opvaart,110,12
2025-12-13 03:06:28,244660923,CADENZA,Onbekend,"52.19110, 6.18444",afvaart,70,9
2025-12-13 03:16:38,211589800,TMS NICOLE II,Tanker,"51.87471, 5.76520",afvaart,110,11
2025-12-13 03:22:01,244377391,STOLT LUDWIGSHAFEN,Tanker,"51.89812, 5.62042",afvaart,135,18
2025-12-13 03:23:01,244078721,VARIATIE,Onbekend,"51.85799, 5.82554",opvaart,81,
2025-12-13 03:32:11,244650813,SYNTHESE 11,Tanker,"51.89063, 5.57540",afvaart,82,11
2025-12-13 03:42:37,244650312,AMAZONE,Onbekend,"51.89622, 5.68090",afvaart,135,15
2025-12-13 03:43:55,244650849,CAMARO II,Vrachtschip,"51.87906, 5.43248",afvaart,190,22
2025-12-13 03:49:08,245784000,RWS 72,Onbekend,"51.95791, 5.65180",afvaart,24,6
2025-12-13 04:04:21,244770198,,,"51.85902, 6.09059",afvaart,,
2025-12-13 04:15:44,244670388,KOOPHANDEL,Onbekend,"51.85619, 6.09183",opvaart,70,9
2025-12-13 04:28:25,211507510,VISTA NEO,Passagiersschip,"51.89165, 5.70262",afvaart,110,12
2025-12-13 04:31:03,244671549,SPARTIVENTO,Tanker,"51.86251, 5.98364",opvaart,110,12
2025-12-13 04:35:28,244010927,CARISMA,Vrachtschip,"51.89906, 5.58462",afvaart,172,12
2025-12-13 04:38:26,211510540,ALMENHOF,Onbekend,"51.85014, 6.13513",afvaart,95,11
2025-12-13 04:44:28,211650900,HEINZ MERTZ,Vrachtschip,"51.85305, 5.82332",afvaart,100,11
2025-12-13 04:51:36,244000826,MARYLAND,Tanker,"51.82478, 6.22757",opvaart,135,12
2025-12-13 04:51:39,244184029,SOPHIE,Tanker,"51.89856, 5.61391",afvaart,86,10
2025-12-13 04:54:21,244921844,INVADO,Tanker,"51.90028, 5.60386",afvaart,85,10
2025-12-13 05:00:18,244183511,DUTCH MELODY,Passagiersschip,"51.83103, 6.19674",opvaart,110,12
2025-12-13 05:01:17,253242471,HERKULES VIII,Onbekend,"51.84871, 6.11615",opvaart,,
2025-12-13 05:06:15,211394510,LISA REICH,Tanker,"51.90086, 5.58065",afvaart,86,10
2025-12-13 05:07:41,205244590,ENAXOR,Vrachtschip,"51.83986, 6.17303",opvaart,105,10
2025-12-13 05:09:40,244750518,NECKARTAL,Tanker,"51.89466, 5.67744",afvaart,105,12
2025-12-13 05:09:45,244660955,DEPENDANCE,Vrachtschip,"51.85399, 6.08711",afvaart,110,12
2025-12-13 05:10:40,244710537,LUMINA,Vrachtschip,"51.85720, 5.82616",afvaart,80,8
2025-12-13 05:10:42,244660320,CALANDO,Vrachtschip,"52.14913, 6.18345",afvaart,105,11
2025-12-13 05:10:51,253242357,LIBERTAS,Tanker,"51.81355, 6.26676",opvaart,110,12
2025-12-13 05:14:02,244050205,MASORA,Vrachtschip,"51.85415, 6.08752",afvaart,86,10
2025-12-13 05:18:57,244670841,BORNRIF,Onbekend,"51.89000, 6.02604",afvaart,110,11
2025-12-13 05:21:26,244740789,EMPIRE,Vrachtschip,"51.83256, 6.19143",opvaart,183,12
2025-12-13 05:27:23,244700399,TIM,Vrachtschip,"51.89114, 5.70662",afvaart,194,12
2025-12-13 05:33:45,244660964,FESTINE VERE,Vrachtschip,"51.83040, 6.19608",opvaart,110,12
2025-12-13 05:37:43,244660660,ADDIO,Onbekend,"51.87336, 5.80519",afvaart,80,9
2025-12-13 05:38:09,244710931,RAPIDO,Vrachtschip,"51.85064, 6.14141",afvaart,86,10
2025-12-13 05:43:18,269057072,ORANJE NASSAU IV,Tanker,"51.86298, 5.98383",opvaart,110,12
2025-12-13 05:49:33,211750710,JOSINA,Vrachtschip,"51.85520, 6.09088",afvaart,100,10
2025-12-13 05:57:48,244710331,ADELAIDE,Vrachtschip,"52.01105, 6.12862",opvaart,86,9
2025-12-13 05:57:56,244630036,CAAN,Vrachtschip,"51.90488, 5.61342",afvaart,110,13
2025-12-13 05:58:38,244110268,DEIMOS,Vrachtschip,"51.83812, 6.17904",opvaart,69,8
2025-12-13 06:07:26,244670805,SPERANZA,Onbekend,"52.13976, 6.19127",afvaart,110,11
2025-12-13 06:08:00,244690245,LEONORE,Onbekend,"51.89860, 5.62280",afvaart,80,9
2025-12-13 06:08:07,244660291,TRITON,Tanker,"51.85376, 6.08709",afvaart,86,10
2025-12-13 06:09:45,244660542,VERA,Vrachtschip,"51.80491, 6.29465",opvaart,214,12
2025-12-13 06:11:46,244810881,TERRA 2,Vrachtschip,"51.89212, 5.49752",afvaart,135,12
2025-12-13 06:12:12,244690365,NICKY,Tanker,"52.16261, 6.24977",afvaart,86,10
2025-12-13 06:12:51,205571490,TE FITI,Vrachtschip,"51.84873, 6.14201",afvaart,187,12
2025-12-13 06:13:47,244690073,SJANIE,Vrachtschip,"51.85104, 6.13818",opvaart,73,9
2025-12-13 06:15:21,244660287,TERRA,Vrachtschip,"51.90003, 5.59393",afvaart,110,12
2025-12-13 06:15:52,244700788,VECTURA,Onbekend,"51.82844, 6.21502",opvaart,110,12
2025-12-13 06:23:19,269057448,VIKING BALDUR,Passagiersschip,"51.85380, 6.08723",afvaart,135,12
2025-12-13 06:24:48,211516560,JASMAR,Tanker,"51.85032, 6.13972",afvaart,106,11
2025-12-13 06:28:05,244700937,IRIS,Onbekend,"52.14783, 6.18481",afvaart,67,10
2025-12-13 06:29:14,244650640,SIJTJE,Vrachtschip,"51.85536, 6.09130",opvaart,67,10
2025-12-13 06:37:51,269057477,VIKING KARA,Passagiersschip,"51.85416, 6.08692",afvaart,135,12
2025-12-13 06:38:55,244700802,SANSTOARM,Vrachtschip,"52.15583, 6.19490",opvaart,62,7
2025-12-13 06:39:41,244013109,ESTO FIDELIS,Vrachtschip,"51.95655, 5.64966",opvaart,80,9
2025-12-13 06:40:57,211387530,CALYPSO,Vrachtschip,"51.86908, 5.91103",afvaart,111,11
2025-12-13 06:52:52,244690351,AMICITAS,Vrachtschip,"52.01391, 6.12807",afvaart,65,7
2025-12-13 06:54:28,244010924,LANSINGH,Vrachtschip,"51.83888, 6.16761",opvaart,110,13
2025-12-13 06:57:46,244710038,HELENA ADRIAAN,Vrachtschip,"51.85086, 6.14076",afvaart,100,12
2025-12-13 07:06:09,244790375,VUELTA,Vrachtschip,"51.94499, 5.95849",opvaart,110,12
2025-12-13 07:08:40,244650787,ORTYGIA,Onbekend,"51.82963, 6.20267",opvaart,110,12
2025-12-13 07:10:13,244690409,CALANDPLUS,Onbekend,"51.86925, 6.04572",opvaart,36,6
2025-12-13 07:16:20,211446560,SCHLOSS SCHOENBRUNN,Tanker,"51.84810, 5.81717",afvaart,110,12
2025-12-13 07:18:41,244110333,INA,Tanker,"51.85059, 5.81890",afvaart,68,7
2025-12-13 07:19:07,244180626,WAALPLUS,Onbekend,"51.86976, 6.04420",afvaart,32,6
2025-12-13 07:19:18,270251000,KVB ALESSANDRO,Onbekend,"51.85494, 6.08813",afvaart,137,9
2025-12-13 07:26:43,244697054,KVB TE AMO,Vrachtschip,"51.86257, 6.06707",afvaart,183,12
2025-12-13 07:28:50,244670181,SERVICE 3,Onbekend,"51.84773, 6.13540",afvaart,35,6
2025-12-13 07:30:06,244859614,AUDENDA,Tanker,"51.85820, 6.08175",afvaart,110,12
2025-12-13 07:32:34,244180624,SAMOON,Vrachtschip,"51.85072, 6.13795",opvaart,110,12
2025-12-13 07:32:52,244660831,SAYONARA,Onbekend,"52.11825, 6.20217",afvaart,88,12
2025-12-13 07:33:09,244371029,PERTINAX,Onbekend,"51.83083, 6.19501",opvaart,105,9
2025-12-13 07:39:45,211486580,EILTANK 19,Tanker,"51.85077, 6.13654",opvaart,110,13
2025-12-13 07:42:05,244690236,,,"51.86293, 5.98460",opvaart,,
2025-12-13 07:42:11,270253000,,,"51.86151, 6.08633",afvaart,,
2025-12-13 07:45:16,244850307,FURKA,Vrachtschip,"51.85053, 6.13868",afvaart,105,11
2025-12-13 07:47:05,244670182,SERVICE 4,Onbekend,"51.85113, 6.09810",opvaart,35,6
2025-12-13 07:47:06,244010931,IVEN1,Vrachtschip,"51.83098, 6.19934",opvaart,170,11
2025-12-13 07:47:13,269057620,RPG BRISTOL,Tanker,"51.86029, 6.07226",opvaart,110,12
2025-12-13 07:47:39,218027120,ASTRA,Tanker,"51.82847, 6.21357",opvaart,110,12
2025-12-13 07:48:44,244210279,EXCELSIOR,Onbekend,"51.87281, 5.80724",opvaart,135,13
2025-12-13 07:50:30,253242396,MARINA,Onbekend,"51.89451, 5.68449",afvaart,84,9
2025-12-13 07:51:24,244700833,MARTINA 2,Onbekend,"51.87015, 6.04218",afvaart,35,6
2025-12-13 07:52:30,244620946,VEERHAVEN IX,Vrachtschip,"51.84522, 6.14760",opvaart,270,23
2025-12-13 07:53:47,244670415,RIGOLETTO,Passagiersschip,"51.85048, 5.86039",opvaart,105,11
2025-12-13 07:54:37,211744610,MARIE,Vrachtschip,"51.85481, 5.82393",afvaart,135,12
2025-12-13 07:56:29,244670460,FRATERNITE,Tanker,"51.82776, 6.21709",opvaart,110,12
2025-12-13 07:56:42,211418897,KVB TOKKO,Vrachtschip,"51.87096, 5.83762",afvaart,188,12
2025-12-13 07:56:58,244710129,ANNA,Vrachtschip,"51.87551, 6.01021",afvaart,100,10
2025-12-13 07:57:16,244730336,TERCERO,Vrachtschip,"51.84949, 6.14312",afvaart,85,8
2025-12-13 07:57:26,211822470,BOTTICELLI,Tanker,"51.86171, 6.06958",opvaart,110,12
2025-12-13 07:59:07,244209247,VIRAYA,Tanker,"51.89954, 5.61545",opvaart,135,12
2025-12-13 08:01:07,261183460,STADT LINDENFELS,Onbekend,"51.84935, 6.14327",afvaart,85,9
2025-12-13 08:01:11,211845090,GENERATION,Tanker,"51.85389, 6.08697",afvaart,110,12
2025-12-13 08:02:12,244730568,DUENDE,Vrachtschip,"52.13701, 6.12583",afvaart,110,12
2025-12-13 08:10:47,244780459,CAMARO V,Vrachtschip,"51.89664, 5.65994",afvaart,183,12
2025-12-13 08:12:34,244660432,SEPTIMO,Onbekend,"51.82847, 6.21851",afvaart,135,11
2025-12-13 08:16:55,244650975,,,"51.85616, 6.08891",afvaart,,
2025-12-13 08:17:12,244620701,SAILING HOME,Vrachtschip,"51.79018, 6.31079",afvaart,135,17
2025-12-13 08:17:32,244615365,MOBITRANS I,Vrachtschip,"51.83128, 6.19494",opvaart,172,12
2025-12-13 08:20:28,244650132,SPECHT,Tanker,"51.89748, 5.65602",afvaart,86,9
2025-12-13 08:21:35,205248790,ATIZ,Vrachtschip,"51.85689, 6.08427",afvaart,80,10
2025-12-13 08:22:08,244650276,,,"51.86372, 5.98400",opvaart,,
2025-12-13 08:31:57,244630402,NEW MEXICO,Vrachtschip,"51.82717, 6.22997",opvaart,135,15
2025-12-13 08:38:23,244770362,BON VOYAGE,Onbekend,"51.85100, 6.14097",afvaart,65,2
2025-12-13 08:39:01,244730796,CORAM DEO,Vrachtschip,"52.21129, 6.09865",afvaart,86,11
2025-12-13 08:39:10,244110172,MIRYANA,Vrachtschip,"51.85703, 6.09108",afvaart,105,11
2025-12-13 08:40:04,244660954,VOLTURNO,Vrachtschip,"51.82827, 6.21418",opvaart,111,13
2025-12-13 08:40:55,244730368,CONNEMARA,Tanker,"51.82816, 6.21622",opvaart,110,12
2025-12-13 08:41:59,244020518,VEERLE,Vrachtschip,"51.87369, 5.91212",opvaart,262,24
2025-12-13 08:47:16,211476020,,,"51.86603, 5.98549",opvaart,,
2025-12-13 08:47:35,244700262,EGIELA-S,Vrachtschip,"51.90333, 6.00758",opvaart,105,10
2025-12-13 08:49:40,244690864,BEVELAND,Tanker,"51.83815, 6.16845",opvaart,110,12
2025-12-13 08:50:23,244700872,FOX,Vrachtschip,"51.85367, 6.08733",afvaart,86,9
2025-12-13 08:52:44,244137310,RIPOSA,Vrachtschip,"51.85380, 6.08758",afvaart,135,15
2025-12-13 08:54:01,211506640,RHENUS LUENEN -KVB-,Onbekend,"51.83604, 6.17297",afvaart,188,12
2025-12-13 09:01:30,211496490,EILTANK 233,Onbekend,"51.84845, 6.12265",opvaart,110,12
2025-12-13 09:10:10,269057119,ANACONDA,Tanker,"51.88037, 5.76640",afvaart,135,12
2025-12-13 09:10:15,244100272,RENOVATIE,Vrachtschip,"51.84112, 6.16900",opvaart,135,14
2025-12-13 09:13:13,244716806,AQUATE,Tanker,"51.86234, 5.98402",opvaart,86,10
2025-12-13 09:14:10,244690300,ICARUS,Tanker,"51.88212, 5.74782",afvaart,,12
2025-12-13 09:16:53,244740097,,,"51.86194, 6.08522",afvaart,,
2025-12-13 09:16:55,211589800,TMS NICOLE II,Tanker,"51.82752, 6.23793",opvaart,110,11
2025-12-13 09:18:16,244670089,SPES SALUTIS,Vrachtschip,"51.82459, 6.23903",opvaart,110,12
2025-12-13 09:20:29,244650016,PRONTO,Onbekend,"51.85466, 6.08700",afvaart,110,12
2025-12-13 09:23:45,211475980,HERKULES II,Vrachtschip,"51.83175, 6.19083",opvaart,270,23
2025-12-13 09:27:00,244710719,HILBER,Vrachtschip,"51.85244, 6.09383",afvaart,65,7
2025-12-13 09:30:19,244730834,ZUIDENWIND,Vrachtschip,"51.96890, 5.80959",opvaart,91,11
2025-12-13 09:32:53,211273730,BURMESTER 100,Tanker,"51.85399, 6.08727",afvaart,85,10
2025-12-13 09:33:23,244969909,,,"51.86416, 5.98357",opvaart,,
2025-12-13 09:39:40,244780760,OOSTERDOK,Onbekend,"51.84746, 5.81806",opvaart,19,6
2025-12-13 09:44:03,244650849,CAMARO II,Vrachtschip,"51.83654, 6.17714",opvaart,190,22
2025-12-13 09:45:51,269057800,NEW ORLEANS,Tanker,"51.89424, 5.67278",afvaart,135,12
2025-12-13 09:47:09,211729530,JUSTINE,Tanker,"51.85364, 6.08736",afvaart,110,12
2025-12-13 09:52:44,244850211,ALSACE,Vrachtschip,"51.81678, 6.26646",afvaart,178,12
2025-12-13 09:52:52,244105935,QUATTRO,Tanker,"51.85540, 6.08832",afvaart,110,12
2025-12-13 09:54:50,211504980,MAXY,Onbekend,"51.89658, 5.67451",afvaart,110,12
2025-12-13 09:55:24,205432590,ISAIAH,Vrachtschip,"51.87546, 5.84166",afvaart,75,8
2025-12-13 09:56:03,244037416,VIGILIA II,Vrachtschip,"51.89959, 5.59969",opvaart,135,12
2025-12-13 09:56:11,244650813,SYNTHESE 11,Tanker,"51.85067, 6.09862",opvaart,82,11
