timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-10 09:43:55,211169520,,,"51.85534, 6.08465",afvaart,,
2025-12-10 09:44:49,244810881,TERRA 2,Vrachtschip,"51.89876, 5.60506",afvaart,135,12
2025-12-10 09:46:24,244630391,PRESENT,Onbekend,"51.86968, 5.98829",opvaart,,
2025-12-10 09:46:26,244690224,VERTROUWEN,Vrachtschip,"52.09793, 6.14472",afvaart,85,9
2025-12-10 09:48:00,244660445,ANDROMEDA,Onbekend,"51.90347, 6.00757",opvaart,68,9
2025-12-10 09:54:56,244700641,TARA,Vrachtschip,"51.90332, 6.00801",opvaart,73,9
2025-12-10 09:55:08,218000710,,,"51.85398, 6.08741",afvaart,,
2025-12-10 10:03:48,211617950,GAS 90,Tanker,"51.82795, 6.22529",opvaart,110,12
2025-12-10 10:09:11,244000895,DENRIA,Vrachtschip,"51.81345, 6.28122",opvaart,135,12
2025-12-10 10:14:45,244730565,HANNEKE,Tanker,"51.85370, 6.08766",afvaart,86,10
2025-12-10 10:17:40,244316022,NIEUWE MAAS,Tanker,"51.85357, 6.08777",afvaart,110,12
2025-12-10 10:19:53,244927482,,,"51.87618, 5.99409",,,
2025-12-10 10:24:22,211285050,MAIN,Vrachtschip,"51.85398, 6.08699",afvaart,105,11
2025-12-10 10:24:42,205355590,BREYDEL,Vrachtschip,"51.83066, 6.19591",opvaart,80,10
2025-12-10 10:27:40,244050411,INDIGO 2,Vrachtschip,"51.85737, 6.08945",opvaart,111,12
2025-12-10 10:28:27,244012849,SAVI,Tanker,"51.86254, 5.98363",opvaart,110,12
2025-12-10 10:31:56,211749250,,,"51.87871, 5.98308",afvaart,,
2025-12-10 10:32:52,244070618,RWS 43,Onbekend,"51.84874, 6.14232",opvaart,19,6
2025-12-10 10:34:36,244660019,DE DUBBEL,Vrachtschip,"51.85343, 6.08696",afvaart,73,9
2025-12-10 10:35:39,244012291,SALACIA,Tanker,"51.83279, 6.18801",opvaart,110,12
2025-12-10 10:36:54,244630005,FARADAY,Tanker,"51.86956, 5.81954",afvaart,86,11
2025-12-10 10:39:12,244660606,COTRANS 3,Onbekend,"51.90323, 6.00774",opvaart,80,9
2025-12-10 10:44:58,244670258,,,"51.85377, 6.08777",afvaart,,
2025-12-10 10:48:31,244690942,ZWARTE ZEE,Vrachtschip,"51.85388, 6.08780",afvaart,81,9
2025-12-10 10:49:14,244650796,STATENSTAD,Onbekend,"51.86262, 5.98419",opvaart,105,11
2025-12-10 10:50:23,244660964,,,"51.86247, 5.98403",opvaart,,
2025-12-10 10:50:25,244620963,ALFA BIANCO,Vrachtschip,"51.82999, 6.21157",afvaart,135,14
2025-12-10 10:55:08,244650842,SELA,Onbekend,"52.19002, 6.18161",afvaart,80,9
2025-12-10 11:04:46,244650827,OSAR,Vrachtschip,"51.86332, 5.98336",opvaart,85,9
2025-12-10 11:04:57,244690071,RANGER,Vrachtschip,"51.91253, 5.98724",opvaart,110,12
2025-12-10 11:11:44,244770459,PALERMO,Onbekend,"52.16335, 6.25427",afvaart,105,11
2025-12-10 11:13:56,244790535,PANERA,Tanker,"51.86335, 5.98351",opvaart,135,12
2025-12-10 11:15:26,244730094,DEO JUVANTE,Onbekend,"51.83316, 6.18681",opvaart,86,9
2025-12-10 11:18:53,205564190,DON ZIMMANI,Vrachtschip,"51.85337, 6.08765",afvaart,172,12
2025-12-10 11:21:18,244076547,POUWEL S,Tanker,"51.89850, 5.64271",afvaart,125,12
2025-12-10 11:21:48,244710151,DEVYANTA,Vrachtschip,"51.82840, 6.21678",opvaart,86,11
2025-12-10 11:23:06,211768950,,,"51.85400, 6.08711",afvaart,,
2025-12-10 11:25:54,253000074,STORM,Tanker,"51.89911, 5.59699",afvaart,110,12
2025-12-10 11:27:54,244660491,COVANO,Vrachtschip,"51.86959, 5.81445",afvaart,135,17
2025-12-10 11:29:12,244660202,RES/RES 2,Onbekend,"51.89959, 5.62412",afvaart,175,12
2025-12-10 11:30:26,244670315,AMERPLUS,Onbekend,"51.86943, 6.04503",opvaart,24,6
2025-12-10 11:37:10,244670927,ODONATA,Onbekend,"51.82860, 6.21013",opvaart,80,9
