MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338247603,2020-06-14T00:00:16,26.11069,-80.11744,0.0,258.0,511.0,TANZANITE,,WDC8826,37,5,44,9,2.8,37,A
368134210,2020-06-14T00:01:40,32.77833,-79.95345,0.0,0.0,118.0,DAUNTLESS,,WDL4724,37,5,0,0,1.5,37,A
368032590,2020-06-14T00:01:17,25.31150,-80.28038,0.0,166.1,511.0,BLUE MOON,,WDK2120,37,15,25,6,1.7,37,A
367705340,2020-06-14T00:00:46,39.69324,-80.86259,0.1,320.4,511.0,CHARLOTTE KLEE,,WDI5117,31,0,17,7,,31,A
316006988,2020-06-14T00:02:10,54.29148,-130.35692,0.0,0.7,511.0,FREEPORT,IMO6924296,CFN5994,30,15,24,6,3.0,30,A
366727190,2020-06-14T00:01:11,40.64104,-74.12910,0.0,285.3,354.0,JILL REINAUER,IMO7042813,WCW9655,31,0,30,8,3.8,52,A
366979150,2020-06-14T00:01:18,29.91627,-90.08687,0.1,28.6,511.0,LADY MIDGE,,WDF2943,31,0,20,7,,31,A
338145465,2020-06-14T00:01:31,37.78101,-122.38579,0.0,354.7,511.0,ISLANDER,,,37,,11,,,,B
220416000,2020-06-14T00:00:43,40.51083,-73.66255,0.0,238.5,239.0,GEORG MAERSK,IMO9320257,OYGN2,70,1,366,42,15.0,,A
367663890,2020-06-14T00:01:18,29.78656,-95.08272,0.0,312.7,276.0,SEBASTIAN D,,WDH9021,31,0,25,,,,A
367160320,2020-06-14T00:01:36,30.39334,-81.55156,2.4,208.5,511.0,CAPE ROMAIN,IMO7908134,WTR6784,31,0,30,9,,,A
477767300,2020-06-14T00:00:17,29.73478,-95.14438,0.1,125.8,96.0,SHOU CHEN SHAN,IMO9632296,VRMH9,70,5,189,32,12.8,70,A
316029000,2020-06-14T00:01:16,42.17667,-81.02278,11.8,70.7,71.0,CSL NIAGARA,IMO7128423,VCGJ,70,0,225,23,9.0,70,A
367505820,2020-06-14T00:01:20,38.60522,-90.19168,0.1,258.8,511.0,MARC,,WDF9504,31,0,16,,,,A
367778080,2020-06-14T00:02:02,47.65610,-122.20888,0.0,114.7,511.0,THRU & THRU,,WDJ4478,37,,,,,,B
