timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-12 00:20:52,244670831,FAVORIET,Tanker,"51.89910, 5.63509",afvaart,86,11
2025-12-12 00:29:23,244690052,METROPOLIS,Vrachtschip,"51.89709, 5.65189",afvaart,135,18
2025-12-12 00:38:59,244670873,GLENSANDA,Vrachtschip,"51.90345, 6.00794",opvaart,86,10
2025-12-12 00:40:01,211417710,,,"51.87566, 5.98964",opvaart,,
2025-12-12 00:47:00,244870674,,,"51.87876, 5.99407",opvaart,,
2025-12-12 00:47:11,244650861,CONCORDIA,Vrachtschip,"51.82960, 6.21499",afvaart,110,12
2025-12-12 00:51:41,244810462,ELINE,Tanker,"51.87270, 5.80324",afvaart,110,12
2025-12-12 00:53:08,244620947,VEERHAVEN X,Vrachtschip,"51.85656, 6.08064",opvaart,270,23
2025-12-12 00:54:36,211507510,VISTA NEO,Passagiersschip,"51.85350, 6.08782",afvaart,110,12
2025-12-12 00:56:07,269057566,RP AMSTERDAM,Tanker,"51.82852, 6.20856",afvaart,110,12
2025-12-12 00:57:35,205253090,COLOMBIA,Vrachtschip,"51.82118, 6.23692",opvaart,192,12
2025-12-12 00:58:48,244620945,VEERHAVEN VIII,Vrachtschip,"51.89818, 5.59858",afvaart,193,35
2025-12-12 01:06:00,244001539,ERASMUS,Tanker,"51.90072, 5.58749",opvaart,110,12
2025-12-12 01:15:45,205271390,THEODELA,Onbekend,"51.89957, 5.61773",opvaart,110,12
2025-12-12 01:27:49,244690441,NAOMI_ _,Vrachtschip,"51.90344, 6.00744",opvaart,70,7
2025-12-12 01:28:00,244660646,STOLT NECKAR,Tanker,"51.81283, 6.27988",afvaart,86,12
2025-12-12 01:38:15,244660663,SPIRIT,Vrachtschip,"51.89749, 5.65887",afvaart,135,12
2025-12-12 01:52:53,244620946,VEERHAVEN IX,Vrachtschip,"51.81929, 6.25983",opvaart,270,23
2025-12-12 01:58:13,244630748,CALISTO,Vrachtschip,"51.82785, 6.22184",opvaart,183,12
2025-12-12 01:59:31,244750594,ADRIANA,Vrachtschip,"51.87868, 6.03547",opvaart,85,8
2025-12-12 02:12:40,244660617,DURANCE,Tanker,"51.82567, 6.23536",opvaart,80,9
2025-12-12 02:24:56,211475980,HERKULES II,Vrachtschip,"51.89842, 5.64348",afvaart,193,35
2025-12-12 02:35:47,253000076,CARITAS,Tanker,"51.82709, 6.22739",afvaart,110,12
2025-12-12 02:36:56,304011029,,,"51.86494, 5.98402",opvaart,,
2025-12-12 02:41:05,205224690,ICARIA,Vrachtschip,"51.87769, 5.84405",afvaart,135,12
2025-12-12 02:56:15,244050206,PRIVILEGE,Vrachtschip,"51.82849, 6.21237",opvaart,190,12
2025-12-12 03:00:02,269057813,A-ROSA SENA,Passagiersschip,"51.83149, 6.19662",opvaart,135,18
2025-12-12 03:12:35,244100272,RENOVATIE,Vrachtschip,"51.83633, 6.17416",afvaart,135,14
2025-12-12 03:16:12,244602311,HORNHAFEN,Onbekend,"51.85049, 6.13716",opvaart,86,10
2025-12-12 03:19:31,244100961,ROLF MONI,Vrachtschip,"51.85974, 6.08389",opvaart,105,12
2025-12-12 03:22:08,211439370,SCHLOSS CHAMBORD,Tanker,"51.85079, 6.13639",opvaart,110,12
2025-12-12 03:24:59,244670581,COMMEARE,Vrachtschip,"51.82727, 6.21645",opvaart,110,12
2025-12-12 03:30:18,211445250,EILTANK 28,Onbekend,"51.87810, 5.76587",afvaart,86,10
2025-12-12 03:30:21,244700736,ZELDENRUST,Onbekend,"52.02052, 6.13372",opvaart,87,12
2025-12-12 03:31:12,244010253,VEERHAVEN VII,Vrachtschip,"51.89864, 5.59705",afvaart,193,35
2025-12-12 03:34:28,269057780,TRAVELMARVEL CAPELLA,Passagiersschip,"51.87430, 5.89485",afvaart,135,12
2025-12-12 03:45:22,244314912,SOCANDES,Vrachtschip,"51.89859, 5.61522",afvaart,135,12
2025-12-12 03:49:37,244013109,ESTO FIDELIS,Vrachtschip,"51.95654, 5.64968",opvaart,80,9
2025-12-12 03:51:24,244630036,CAAN,Vrachtschip,"51.85922, 5.88101",afvaart,110,13
2025-12-12 03:58:33,211650900,HEINZ MERTZ,Vrachtschip,"52.16196, 6.19178",opvaart,100,11
2025-12-12 04:03:03,244670047,MEDEDINGER,Vrachtschip,"51.83281, 6.18812",opvaart,80,9
2025-12-12 04:19:53,269057543,,,"51.85467, 6.08582",afvaart,,
2025-12-12 04:22:50,244129543,INCEPTUM,Vrachtschip,"51.85420, 6.08689",afvaart,80,9
2025-12-12 04:25:27,253000070,CARPE VITAM,Tanker,"51.86261, 5.98387",opvaart,110,13
2025-12-12 04:37:36,205260490,KENYRO,Vrachtschip,"51.86312, 5.98334",opvaart,110,17
2025-12-12 04:52:39,205454090,GOUDVIS,Vrachtschip,"51.89469, 5.59773",afvaart,135,18
2025-12-12 04:53:42,244150220,STEDO,Vrachtschip,"51.85080, 6.13744",afvaart,55,8
2025-12-12 04:57:30,205393290,GLADIATOR,Vrachtschip,"51.89786, 5.64412",afvaart,110,12
2025-12-12 05:02:20,244029556,BLUE EMILY,Tanker,"51.90386, 5.64025",afvaart,110,12
2025-12-12 05:02:57,205415190,THEODELA,Tanker,"51.86300, 5.83099",opvaart,110,12
2025-12-12 05:03:58,218000710,BELLOTTO,Tanker,"51.89562, 5.67369",afvaart,110,12
2025-12-12 05:04:02,244730094,DEO JUVANTE,Onbekend,"51.86329, 5.91942",opvaart,86,9
2025-12-12 05:09:11,244700224,TRANSIENT,Vrachtschip,"51.86058, 6.07149",opvaart,85,10
2025-12-12 05:16:23,244770416,,,"51.85401, 6.08788",afvaart,,
2025-12-12 05:18:27,269057367,ALINA,Passagiersschip,"51.89473, 5.52630",afvaart,135,12
2025-12-12 05:21:35,244670667,CUM GRANO SALIS,Vrachtschip,"51.82824, 6.20719",opvaart,105,12
2025-12-12 05:24:05,244660530,ENJOY,Tanker,"51.90061, 5.59288",afvaart,110,11
2025-12-12 05:27:21,244001635,INTERCEPTOR,Tanker,"51.85385, 6.08728",afvaart,135,13
2025-12-12 05:28:40,211496490,EILTANK 233,Onbekend,"51.86509, 6.06045",opvaart,110,12
2025-12-12 05:30:52,244070618,RWS 43,Onbekend,"51.86267, 5.83423",opvaart,19,6
2025-12-12 05:33:58,244660831,SAYONARA,Onbekend,"51.97313, 5.97459",opvaart,88,12
2025-12-12 05:37:24,244150799,MAITE,Vrachtschip,"51.86315, 6.07035",opvaart,80,9
2025-12-12 05:37:53,244670978,DAMIANO,Tanker,"51.86143, 5.82629",afvaart,85,10
2025-12-12 05:38:27,244690569,SALIRE,Vrachtschip,"51.86277, 6.06626",opvaart,86,10
2025-12-12 05:39:36,244125253,,,"51.87316, 5.90219",afvaart,,
2025-12-12 05:42:19,205233390,VITADOR,Vrachtschip,"51.86613, 5.93865",afvaart,86,10
2025-12-12 05:43:15,270252000,KVB BOHEMIA,Onbekend,"51.86930, 6.05631",opvaart,137,9
2025-12-12 05:53:24,244660315,SERFRA,Onbekend,"51.85536, 5.82292",afvaart,67,9
2025-12-12 05:58:58,211179370,,,"51.86972, 6.02339",opvaart,,
2025-12-12 05:59:01,244376425,BLUE MARJAN,Tanker,"51.89835, 5.64114",afvaart,110,12
2025-12-12 06:03:55,244690462,NOMADISCH 1+2,Vrachtschip,"51.90218, 5.56155",afvaart,172,12
2025-12-12 06:04:54,244043389,PAUL,Vrachtschip,"51.85072, 6.13809",opvaart,110,12
2025-12-12 06:11:25,244150552,GELDERLAND,Onbekend,"51.85082, 5.85326",opvaart,10,4
2025-12-12 06:12:19,244110172,MIRYANA,Vrachtschip,"51.85706, 6.09118",opvaart,105,11
2025-12-12 06:13:03,244700886,GREFO,Onbekend,"52.01365, 6.12822",afvaart,60,7
2025-12-12 06:13:10,244850762,MI VIDA,Vrachtschip,"51.97106, 5.81507",opvaart,109,11
2025-12-12 06:14:07,244010927,CARISMA,Vrachtschip,"51.85372, 6.08761",afvaart,172,12
2025-12-12 06:17:21,244700937,IRIS,Onbekend,"51.87564, 5.90460",afvaart,67,10
2025-12-12 06:17:30,211882390,RHENUS ESSEN,Vrachtschip,"51.86013, 6.08482",afvaart,185,10
2025-12-12 06:19:05,244630717,OVAL,Onbekend,"51.89148, 5.69368",afvaart,183,13
2025-12-12 06:21:09,244670831,FAVORIET,Tanker,"51.87564, 5.99264",opvaart,86,11
2025-12-12 06:23:45,205429390,PANAMERA,Vrachtschip,"51.86977, 5.80748",afvaart,86,11
2025-12-12 06:26:15,244710939,SIENTJE,Onbekend,"51.90312, 6.00733",opvaart,18,7
