snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-12T19:18:50.969647+00:00,244850360,IJSSELNAAR,PC3642,0,79,0,51.9303,4.16373,0,360,511,128,83,7,7,4,0,ALPHEN AD RIJN,03-19 21:00,2026-01-12 19:15:43 GMT
2026-01-12T19:18:50.969647+00:00,566060000,CS ENDEAVOUR,9V9397,9517927,70,0,51.95973,4.15566,10.5,311.4,311,0,134,28,8,16,8.2,RULED,01-16 12:00,2026-01-12 19:15:40 GMT
2026-01-12T19:18:50.969647+00:00,205521990,PANAMERA,OT5219,0,80,5,51.88602,4.30736,0,360,13,0,100,10,4,8,1.6,3E PETROLEUMHAVEN,01-09 16:28,2026-01-12 19:12:18 GMT
2026-01-12T19:18:50.969647+00:00,244890425,WALRUS,PC6120,0,37,5,51.97115,5.42918,0.2,360,511,128,8,15,4,4,0,MAURIK,08-11 16:00,2026-01-12 19:12:57 GMT
2026-01-12T19:18:50.969647+00:00,538009157,KATSUYAMA,V7A4392,9274678,80,5,51.88556,4.44993,0,352.4,287,0,153,33,10,21,10.7,ROTTERDAM,01-12 03:30,2026-01-12 19:14:41 GMT
2026-01-12T19:18:50.969647+00:00,244690564,VIGILATE,PD3428,0,79,0,51.96172,3.99642,1.1,214.1,511,128,123,12,6,6,0,MAASVLAKTE,04-10 00:00,2026-01-12 19:15:38 GMT
2026-01-12T19:18:50.969647+00:00,205425690,AVARUS,OT4256,0,90,5,51.80764,4.60853,0,219.3,511,128,55,12,4,4,0,LUMMEN,04-06 19:06,2026-01-12 19:14:46 GMT
2026-01-12T19:18:50.969647+00:00,244710446,FRANS,PD9031,0,53,0,51.95043,4.1264,0,360,511,128,11,48,6,6,0,WERKENDAM,12-19 07:00,2026-01-12 19:15:21 GMT
2026-01-12T19:18:50.969647+00:00,244007958,RIANT,PC5112,0,37,15,51.90266,4.55582,0.2,290.2,511,128,10,5,2,2,1.2,,09-15 15:42,2026-01-12 18:58:16 GMT
2026-01-12T19:18:50.969647+00:00,563178300,ALPINE EAGLE,9V8590,9366275,80,5,51.9375,4.1867,0.1,5,306,0,147,36,10,22,11.1,NL_RTM,01-12 00:01,2026-01-12 19:12:22 GMT
2026-01-12T19:18:50.969647+00:00,244730909,DELTA 3,PD4241,0,99,0,51.81586,4.6599,0,360,511,128,21,6,2,4,2,BUNKERS,00-00 00:00,2026-01-12 19:15:45 GMT
2026-01-12T19:18:50.969647+00:00,244630750,KRVE 58,PH4562,0,40,0,51.89934,4.43116,0,360,511,128,11,0,0,5,0,,00-00 24:60,2026-01-12 19:15:38 GMT
2026-01-12T19:18:50.969647+00:00,244700755,OBERON,PD2787,0,79,0,51.95,5.95387,8.1,148.8,511,128,72,13,2,8,0.2,WESEL,01-13 09:00,2026-01-12 19:15:47 GMT
2026-01-12T19:18:50.969647+00:00,244710273,ARKERVAART,PD2583,0,20,5,51.88611,4.43256,0,233.8,511,128,70,15,2,7,0,ALMELO,11-09 17:00,2026-01-12 19:13:37 GMT
2026-01-12T19:18:50.969647+00:00,244316672,BLUE MARY,PG2207,0,90,0,51.8205,5.3781,5.6,21.1,511,128,98,12,5,8,3,ARNHEM  OVERSLAG SHE,01-12 15:25,2026-01-12 19:15:43 GMT
2026-01-12T19:18:50.969647+00:00,211475980,HERKULES II,DH2180,0,90,0,51.92091,4.17455,5.7,321.9,511,128,162,31,22,14,1.9,DINTELHAVEN,01-12 20:00,2026-01-12 19:15:08 GMT
2026-01-12T19:18:50.969647+00:00,244618000,MARE (PILOTS),PGNI,0,50,5,51.97624,4.12508,0,355.2,208,0,18,5,3,4,1.3,HOEK VAN HOLLAND,03-02 17:00,2026-01-12 19:13:55 GMT
2026-01-12T19:18:50.969647+00:00,244650162,ANNE,PB2846,0,79,0,51.88645,5.72639,6.9,106.4,511,128,70,10,5,2,0,N,00-00 00:00,2026-01-12 19:15:47 GMT
2026-01-12T19:18:50.969647+00:00,244630037,LIBERTAS,PH7030,0,52,5,51.89022,4.45459,0,360,511,128,4,12,2,2,0,ROTTERDAM,05-09 12:00,2026-01-12 19:14:46 GMT
2026-01-12T19:18:50.969647+00:00,244700604,KVB JABO,PF9258,0,70,5,51.89667,5.59959,0,277,82,0,182,0,15,0,0,FRKHLVN188HRBAR02969,11-24 21:00,2026-01-12 19:15:46 GMT
2026-01-12T19:18:50.969647+00:00,211195870,LUTT MATTEN,DD9322,1020291,90,5,51.83325,4.93501,0,244.2,4,0,13,10,2,7,0,,00-00 24:60,2026-01-12 19:14:32 GMT
2026-01-12T19:18:50.969647+00:00,211595680,RUDOLF DEYMANN,DH5522,0,20,5,51.81591,5.22386,0,360,511,128,98,12,7,5,1.7,DEMAL03911DOCKX00379,00-00 00:00,2026-01-12 19:12:58 GMT
2026-01-12T19:18:50.969647+00:00,244700331,CUNERA,PB3938,0,79,0,51.89832,5.61271,0,164.3,86,0,133,2,5,7,0,DUISBURG,01-13 11:04,2026-01-12 19:15:46 GMT
2026-01-12T19:18:50.969647+00:00,244700820,CHARLOIS,PB8188,0,80,5,51.88479,4.29187,0,360,511,128,135,0,11,1,2.8,ANTWERPEN,06-19 21:14,2026-01-12 19:07:20 GMT
2026-01-12T19:18:50.969647+00:00,236507000,CASTORWATER,ZDJB7,9418937,80,5,51.87749,4.2966,0,213.5,72,0,88,17,7,9,4.8,ROTTERDAM,01-11 10:00,2026-01-12 19:13:22 GMT
